Property_ID,Area_sqft,Price_Lakh,Bedrooms,Age_years,Distance_to_City_km,Location_Score,Condition_Score,Amenities_Score,Days_on_Market,Sold
P001,1776,173.1,5,27,19.8,5.0,3.3,9.4,133,Yes
P002,2109,204.6,5,27,16.3,6.4,2.0,4.0,180,Yes
P003,1510,108.5,4,4,20.3,5.7,9.5,6.3,32,Yes
P004,1944,119.0,5,8,22.7,4.9,9.5,4.6,50,Yes
P005,1780,119.2,4,3,15.8,6.3,10.0,6.9,25,Yes
P006,1745,114.3,5,26,24.5,5.7,3.5,4.1,152,Yes
P007,2374,133.2,5,21,15.6,7.3,7.5,9.2,47,Yes
P008,1694,130.9,4,30,16.3,5.8,3.8,8.9,126,Yes
P009,2288,159.3,4,16,14.3,5.5,6.0,9.6,121,Yes
P010,771,54.7,2,8,3.2,9.8,7.7,5.0,20,Yes
P011,1116,79.4,3,0,18.4,5.6,10.0,7.3,20,Yes
P012,1888,99.7,5,20,14.1,8.2,4.6,6.9,78,Yes
P013,980,83.7,3,19,11.8,8.0,6.5,5.9,20,Yes
P014,2132,186.5,5,12,22.9,5.0,8.4,5.2,161,Yes
P015,737,75.0,1,27,8.2,8.0,6.5,6.4,87,Yes
P016,2046,184.3,5,15,13.6,5.7,7.5,7.9,66,Yes
P017,1773,155.4,3,28,17.7,5.4,3.4,7.0,95,Yes
P018,1521,159.2,3,12,20.1,5.5,8.0,6.1,67,Yes
P019,2337,174.7,5,13,12.0,5.3,6.4,3.4,82,Yes
P020,780,78.0,2,2,21.2,5.9,8.3,3.5,20,Yes
P021,2335,119.6,4,28,19.5,7.2,3.3,3.3,135,Yes
P022,1982,118.7,5,5,2.6,7.4,6.8,10.0,20,Yes
P023,1419,64.2,2,17,2.1,8.1,6.3,3.6,20,Yes
P024,993,66.6,3,18,15.9,6.3,8.1,3.8,50,Yes
P025,2165,170.2,4,4,9.3,7.1,10.0,5.5,20,Yes
P026,2087,130.8,5,14,6.0,8.8,6.8,9.4,20,Yes
P027,1455,104.4,3,24,14.9,6.2,7.0,9.8,63,Yes
P028,1035,52.8,1,1,9.2,6.7,9.3,8.7,20,Yes
P029,1865,190.7,3,9,13.9,7.8,6.4,8.3,92,Yes
P030,1605,160.0,4,23,12.0,7.5,6.7,7.0,87,Yes
P031,926,85.2,2,29,15.0,5.7,5.1,3.5,129,Yes
P032,1834,84.2,4,17,10.6,8.9,9.1,10.0,24,Yes
P033,1109,113.3,1,26,17.7,5.1,3.5,8.1,128,Yes
P034,1987,115.1,5,12,5.3,7.4,10.0,7.8,20,Yes
P035,671,65.7,3,4,17.7,5.8,10.0,8.3,20,Yes
P036,902,35.0,3,22,10.9,7.6,6.0,8.5,56,Yes
P037,1397,101.2,3,23,22.0,5.0,5.5,7.2,93,Yes
P038,1506,102.4,4,0,13.4,7.3,9.1,10.0,20,Yes
P039,2234,200.4,5,21,24.4,4.4,6.4,8.9,131,Yes
P040,1124,98.9,1,0,15.4,6.6,9.8,7.7,20,Yes
P041,1732,157.7,4,17,6.4,7.8,7.6,8.3,24,Yes
P042,1160,71.9,3,14,20.7,4.1,7.1,2.9,52,Yes
P043,2355,158.0,5,16,9.3,8.4,8.8,8.3,27,Yes
P044,2149,177.2,4,10,9.3,7.9,8.4,3.8,67,Yes
P045,1349,103.2,2,20,1.8,10.0,6.1,8.1,41,Yes
P046,1625,74.3,4,25,14.2,4.7,6.7,9.7,49,Yes
P047,2456,254.3,5,30,13.8,6.0,2.7,6.9,181,No
P048,839,73.4,1,24,9.5,9.5,6.1,7.2,42,Yes
P049,1607,100.9,2,21,22.5,4.9,6.3,4.9,84,Yes
P050,1336,116.2,3,26,4.1,9.3,3.6,4.7,91,Yes
P051,1607,134.4,3,26,8.9,8.5,3.3,8.7,101,Yes
P052,1212,90.1,2,16,8.7,10.0,8.3,5.3,20,Yes
P053,2549,148.7,5,12,3.2,10.0,9.0,4.8,20,Yes
P054,2240,170.3,5,0,12.5,5.3,10.0,5.8,20,Yes
P055,1917,160.3,4,1,17.5,4.4,10.0,8.2,26,Yes
P056,1481,134.0,3,8,13.3,5.1,9.1,8.0,20,Yes
P057,2178,179.7,4,2,4.8,8.1,10.0,3.9,20,Yes
P058,1804,111.9,2,30,10.1,7.5,5.1,6.6,79,Yes
P059,2158,127.2,5,0,1.1,10.0,9.7,7.7,20,Yes
P060,2492,141.1,5,20,21.8,3.0,5.1,6.8,135,Yes
P061,1296,94.1,3,15,3.0,7.4,6.6,7.9,20,Yes
P062,670,35.0,2,22,15.3,5.4,5.7,5.4,37,Yes
P063,1490,99.9,4,5,24.7,4.7,10.0,6.6,32,Yes
P064,816,69.9,3,27,13.9,7.6,6.1,6.8,73,Yes
P065,1947,119.1,5,16,23.2,5.9,7.5,9.2,86,Yes
P066,1037,51.2,3,4,6.7,8.3,10.0,7.3,20,Yes
P067,1250,92.9,3,30,19.2,6.0,5.2,6.1,102,Yes
P068,965,65.6,2,4,13.8,7.6,9.6,6.2,27,Yes
P069,663,56.9,1,5,18.3,4.9,7.3,6.7,20,Yes
P070,891,60.6,2,2,2.5,9.8,10.0,9.6,20,Yes
P071,1426,61.4,4,20,4.5,9.5,5.8,7.6,36,Yes
P072,2019,139.2,4,22,4.2,8.0,7.3,8.1,73,Yes
P073,1214,47.0,3,4,17.5,7.3,10.0,8.5,20,Yes
P074,1547,89.4,3,20,21.3,4.6,5.6,6.3,85,Yes
P075,2013,142.5,5,4,19.0,5.3,10.0,5.8,35,Yes
P076,741,56.2,1,9,1.7,8.6,7.9,9.8,20,Yes
P077,2040,107.5,5,9,21.8,3.8,8.0,5.4,51,Yes
P078,1605,102.3,3,18,9.5,5.4,7.1,6.1,55,Yes
P079,2128,110.0,4,16,10.5,7.4,7.5,10.0,42,Yes
P080,2101,210.1,5,20,3.5,10.0,6.4,4.0,86,Yes
P081,1158,75.1,2,13,18.7,4.3,6.1,3.9,86,Yes
P082,1425,108.4,4,8,5.4,10.0,8.4,6.7,20,Yes
P083,684,67.6,3,13,14.5,7.8,10.0,10.0,20,Yes
P084,855,58.7,1,0,21.2,4.2,6.7,3.0,27,Yes
P085,1754,171.4,3,18,3.1,9.3,7.8,3.9,41,Yes
P086,2235,125.8,4,12,13.8,6.4,9.1,3.5,61,Yes
P087,2545,160.7,5,12,6.6,10.0,6.2,4.6,65,Yes
P088,2061,132.6,4,3,9.2,8.2,8.9,3.8,23,Yes
P089,1675,156.4,5,29,12.4,8.1,3.6,6.9,113,Yes
P090,1671,134.7,2,0,9.5,8.0,10.0,7.6,24,Yes
P091,2063,150.5,5,16,16.6,5.7,8.4,4.8,57,Yes
P092,1215,65.3,3,7,12.5,7.2,10.0,6.1,20,Yes
P093,1779,123.4,4,1,15.0,5.8,10.0,3.6,39,Yes
P094,2445,200.0,5,27,18.7,3.9,6.7,4.8,156,Yes
P095,2495,121.8,5,30,14.4,7.2,4.6,7.0,112,Yes
P096,2150,114.2,5,7,15.1,4.7,10.0,7.8,20,Yes
P097,1352,72.0,3,6,14.5,6.1,8.7,3.0,27,Yes
P098,1051,106.7,1,25,10.1,7.0,4.7,6.5,106,Yes
P099,1379,133.9,3,25,9.1,8.4,7.7,5.7,111,Yes
P100,2229,198.1,4,1,22.6,5.9,9.8,8.9,36,Yes
P101,811,35.0,3,21,15.6,7.3,5.1,8.3,37,Yes
P102,851,68.4,2,21,6.9,8.9,5.1,7.8,25,Yes
P103,1645,146.3,4,2,13.0,6.1,8.6,5.0,63,Yes
P104,919,66.5,2,26,8.9,7.6,6.3,9.8,20,Yes
P105,2536,229.5,5,17,23.4,3.8,6.8,2.8,163,Yes
P106,1465,125.4,3,11,1.2,9.2,10.0,4.6,20,Yes
P107,1944,203.5,5,0,6.4,8.0,10.0,6.2,50,Yes
P108,1105,66.8,2,21,9.8,7.1,6.5,4.1,70,Yes
P109,2135,137.8,4,11,12.7,6.4,9.7,9.8,31,Yes
P110,2400,189.6,5,4,21.4,5.6,8.7,8.5,44,Yes
P111,1925,156.0,5,29,3.1,8.2,2.6,5.4,91,Yes
P112,1666,110.1,3,29,20.3,4.2,3.6,6.7,116,Yes
P113,2375,134.7,5,26,2.3,7.8,5.5,10.0,25,Yes
P114,945,76.7,2,24,21.2,6.1,5.4,9.2,103,Yes
P115,2398,160.1,5,16,2.2,8.7,8.1,7.9,20,Yes
P116,1369,123.4,3,15,1.4,10.0,7.2,10.0,42,Yes
P117,2422,252.4,5,30,17.7,6.1,5.5,9.9,195,No
P118,987,72.0,1,14,24.9,5.1,9.3,8.0,42,Yes
P119,1528,123.1,2,22,22.5,4.2,5.9,3.0,125,Yes
P120,1726,118.8,3,14,14.8,5.4,8.1,5.7,51,Yes
