Sample_ID,Weight_g,Sweetness,Firmness,Color_Score,Fruit
1,109.5,7.8,4.7,5.5,Banana
2,258.9,8.7,6.0,7.8,Mango
3,151.7,6.2,6.2,8.5,Orange
4,117.6,8.3,6.5,7.2,Banana
5,164.6,6.9,6.7,6.5,Apple
6,161.1,9.0,7.9,6.8,Apple
7,159.4,6.1,8.8,7.3,Apple
8,273.7,8.0,7.1,6.9,Mango
9,128.8,9.5,4.2,6.4,Banana
10,182.0,6.1,5.3,9.0,Orange
11,140.9,7.4,7.4,8.0,Apple
12,226.5,8.3,6.7,7.0,Mango
13,184.5,7.5,5.2,9.1,Orange
14,164.7,7.6,7.1,5.2,Apple
15,169.4,7.2,8.2,6.8,Apple
16,147.8,7.2,8.2,5.8,Apple
17,193.6,7.4,7.2,7.2,Apple
18,105.4,8.6,5.9,6.2,Banana
19,134.5,8.3,5.7,8.9,Banana
20,155.6,6.4,7.4,5.7,Apple
21,118.8,8.2,5.2,7.8,Banana
22,160.2,8.2,7.8,9.2,Apple
23,171.3,6.3,7.3,7.0,Apple
24,116.6,8.5,5.4,6.9,Banana
25,107.3,6.9,4.6,7.9,Banana
26,184.3,5.5,6.6,9.2,Orange
27,144.1,7.1,8.0,5.4,Apple
28,125.4,8.4,5.9,8.1,Banana
29,99.3,7.3,5.4,7.5,Banana
30,169.3,10.0,8.4,7.6,Apple
31,134.3,8.5,4.7,7.8,Banana
32,146.1,6.8,7.7,6.6,Apple
33,201.7,5.5,8.5,4.9,Apple
34,235.8,9.2,6.1,7.1,Mango
35,228.5,8.9,5.4,8.2,Mango
36,180.9,6.0,8.2,9.4,Orange
37,123.5,7.1,7.5,7.4,Apple
38,145.7,6.9,8.4,7.4,Apple
39,156.0,6.2,6.1,8.6,Orange
40,146.5,8.3,4.0,7.9,Banana
41,198.2,7.8,6.9,6.0,Apple
42,139.0,7.5,5.4,7.8,Banana
43,143.3,7.0,5.7,5.5,Apple
44,242.4,7.8,7.3,6.9,Mango
45,152.1,7.1,9.0,5.1,Apple
46,203.3,6.5,5.7,9.3,Orange
47,163.6,6.5,8.0,6.1,Apple
48,121.7,8.5,6.3,5.8,Banana
49,152.0,6.6,4.9,7.6,Banana
50,165.1,6.5,7.9,6.0,Apple
51,232.3,9.0,6.3,7.4,Mango
52,198.0,6.7,7.2,9.4,Orange
53,225.1,8.2,6.6,8.5,Mango
54,249.4,8.6,7.0,7.5,Mango
55,128.2,7.9,4.8,8.1,Banana
56,274.8,9.0,7.0,8.0,Mango
57,172.3,6.8,8.2,6.4,Apple
58,161.7,7.5,7.4,8.6,Apple
59,141.9,6.0,8.8,7.3,Apple
60,171.2,7.5,8.0,5.6,Apple
61,121.1,7.5,5.8,6.9,Banana
62,145.1,6.7,8.3,5.9,Apple
63,163.6,6.7,6.7,8.7,Orange
64,112.9,8.2,3.8,5.6,Banana
65,147.1,6.8,8.2,8.0,Apple
66,132.9,7.9,5.0,6.0,Banana
67,159.7,6.8,8.2,5.7,Apple
68,190.4,7.7,6.4,9.2,Orange
69,172.4,6.7,8.2,6.5,Apple
70,252.9,8.0,6.0,8.4,Mango
71,209.0,7.3,8.2,8.5,Orange
72,175.7,7.1,9.5,5.7,Apple
73,144.9,6.5,6.5,6.0,Apple
74,164.8,6.6,6.8,10.0,Orange
75,199.0,6.0,5.8,9.3,Orange
76,153.6,8.0,7.4,8.7,Orange
77,145.7,7.6,6.4,9.7,Orange
78,131.3,6.5,8.0,6.5,Apple
79,113.2,8.4,4.1,6.9,Banana
80,162.2,7.4,8.5,5.4,Apple
81,204.0,9.3,6.3,7.4,Mango
82,143.3,8.1,5.9,7.1,Banana
83,197.1,8.4,7.8,7.5,Apple
84,171.6,8.1,7.3,7.2,Apple
85,179.1,5.6,7.2,4.5,Apple
86,155.2,7.6,9.1,6.6,Apple
87,212.6,5.4,5.1,9.0,Orange
88,125.8,8.0,3.3,6.9,Banana
89,210.9,8.9,6.3,7.2,Mango
90,112.3,7.3,4.9,8.0,Banana
91,142.3,7.4,7.6,5.7,Apple
92,177.9,5.7,6.1,8.3,Orange
93,219.3,6.5,5.9,9.1,Orange
94,118.3,7.8,5.5,7.8,Banana
95,169.4,6.0,6.3,7.6,Orange
96,97.3,9.0,6.3,6.8,Banana
97,128.6,8.2,7.5,8.1,Banana
98,118.1,7.3,3.7,7.2,Banana
99,146.4,5.9,7.5,5.4,Apple
100,190.4,7.7,8.0,8.0,Apple
101,161.4,6.3,9.1,7.0,Apple
102,104.4,7.9,4.3,5.6,Banana
103,176.7,8.5,7.0,7.1,Apple
104,110.2,7.7,4.5,6.1,Banana
105,251.5,8.0,6.2,8.0,Mango
106,155.7,6.3,7.6,7.3,Apple
107,127.5,7.3,5.1,7.8,Banana
108,146.6,6.9,6.0,9.3,Orange
109,146.3,5.6,6.9,6.5,Apple
110,164.7,6.3,8.4,4.8,Apple
111,158.8,6.0,7.5,6.5,Apple
112,144.5,6.7,8.7,5.9,Apple
113,275.1,7.8,6.4,9.2,Mango
114,130.6,5.9,7.0,8.9,Orange
115,125.6,7.6,5.1,6.8,Banana
116,285.0,8.7,6.3,7.7,Mango
117,170.2,6.2,6.8,8.7,Orange
118,165.2,8.7,8.6,6.2,Apple
119,286.0,8.3,4.4,7.2,Mango
120,91.9,7.8,5.0,8.7,Banana
