Age,AnnualIncome,WebsiteVisits,Purchased
25,114130,7,1
63,109312,10,1
22,33944,8,0
43,62122,16,1
24,44479,2,0
21,98317,1,1
31,109561,2,1
49,112264,17,1
64,100370,15,1
39,106890,9,1
25,100378,6,1
24,49106,13,1
32,84883,15,1
42,118384,6,1
32,50898,10,1
47,91698,19,1
42,47775,15,1
63,53800,11,0
49,97806,4,0
31,30335,2,0
18,20685,16,1
38,70219,19,1
36,45674,13,1
28,119426,5,1
19,21989,13,1
27,107138,18,1
21,94022,13,1
34,37036,3,0
47,105479,10,1
18,24649,18,1
21,88800,5,1
20,55860,4,0
45,31932,7,0
19,85491,5,1
65,56604,7,0
60,78656,13,1
39,102714,9,1
34,104096,8,1
33,27888,19,1
55,42973,12,0
45,99344,18,1
58,88442,2,0
40,91686,14,1
52,46131,18,0
45,106820,3,0
63,55008,20,0
64,118593,3,0
34,43275,4,0
27,27695,7,0
45,25885,2,0
58,31956,17,0
48,85683,12,1
24,60984,2,1
26,89660,2,1
46,107065,5,0
43,112752,15,1
19,116550,17,1
35,31845,9,1
38,31244,10,1
20,70362,2,1
64,54210,11,0
65,37040,9,0
42,35353,10,1
24,75683,8,1
50,93030,7,0
39,64389,17,1
43,96564,16,1
24,37003,15,1
51,93222,19,1
62,88167,18,1
19,58184,6,0
30,68542,13,1
51,62496,4,0
44,65269,5,1
54,28501,2,0
37,105343,18,1
38,74734,10,1
38,66218,9,1
38,118138,17,1
50,21128,17,0
25,39497,11,1
64,62673,11,1
54,29023,15,0
35,82874,15,1
41,117207,13,1
23,95886,2,1
26,26386,17,1
49,95445,9,1
33,112132,19,1
65,64387,12,1
59,68514,13,1
37,80892,20,1
39,89747,17,1
28,23810,5,0
34,110078,8,1
54,37485,4,0
29,73884,20,1
21,33005,18,1
61,54829,4,0
31,54301,3,0
58,94870,17,1
59,30288,3,0
31,104310,6,1
50,76634,1,0
55,68248,16,1
63,57191,8,0
30,98391,16,1
33,75763,15,1
61,68124,18,1
30,83197,3,1
34,73386,7,1
18,117882,18,1
42,87408,16,1
22,72919,20,1
50,95796,19,1
45,25258,12,0
47,20839,7,0
37,111225,1,1
52,35734,10,0
50,117892,11,1
52,104547,19,1
53,57028,17,0
44,91046,17,1
44,99006,19,1
37,79312,10,1
26,86364,15,1
55,38392,18,0
28,53127,1,0
45,116486,19,1
20,68282,14,1
43,56903,1,0
23,31800,1,0
42,55242,15,1
35,68841,16,1
39,70916,15,1
25,83402,12,1
27,74420,5,1
19,42554,9,1
41,36661,19,1
36,74121,9,1
50,57653,14,0
62,55871,14,0
39,83674,7,1
63,84405,13,1
63,75721,3,0
22,36969,7,0
27,50045,1,0
24,53190,5,0
48,32969,13,0
59,114831,6,0
18,31686,14,1
57,26667,18,0
31,90056,14,1
40,26164,4,0
65,92461,14,1
60,117140,4,0
34,109725,9,1
29,82876,2,1
31,108710,3,1
42,36225,15,1
36,109385,17,1
49,71522,4,0
56,82808,4,0
27,70641,20,1
62,46371,6,0
51,53765,14,0
65,90348,10,1
49,103055,18,1
31,119570,20,1
39,83697,4,1
18,119323,12,1
63,55066,2,0
52,101979,15,1
37,119595,4,1
32,86586,9,1
35,112571,8,1
44,39442,5,0
34,45599,14,1
53,102578,20,1
21,89832,20,1
50,39510,14,0
35,56672,16,1
62,60081,9,1
49,48101,16,0
41,98513,16,1
33,64354,6,1
56,119472,6,0
65,96093,15,1
52,39586,2,0
50,62730,17,1
62,37703,7,0
38,101598,16,1
48,63259,4,0
26,38365,9,1
32,31538,18,1
62,26557,19,0
29,109753,4,1
32,93827,7,1
50,94393,10,1
45,62944,1,0
