Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company
100000,TX2679,2024-08-21 01:23:00,2024-08-21 01:35:36,756,0.99,70,12,5.63,2.75,0.0,1,9.38,No Charge,Flash Cab
100001,TX9928,2024-01-12 02:22:00,2024-01-12 02:33:23,683,4.76,54,29,14.67,5.05,0.0,1,20.72,No Charge,Medallion
100002,TX5552,2024-04-11 12:52:00,2024-04-11 12:57:26,326,15.3,20,28,39.97,1.6,2.5,2,46.07,Mobile,Flash Cab
100003,TX1711,2024-02-04 00:25:00,2024-02-04 00:55:56,1856,2.39,59,69,8.99,8.47,5.0,2,24.46,Cash,Taxi Affiliation
100004,TX2139,2024-01-29 22:33:00,2024-01-29 23:15:41,2561,6.22,6,30,18.18,6.29,0.0,1,25.47,Mobile,Flash Cab
100005,TX3664,2024-11-07 15:52:00,2024-11-07 16:12:53,1253,17.4,48,46,45.01,3.8,2.5,2,53.31,Credit Card,Blue Ribbon
100006,TX3677,2024-09-12 18:35:00,2024-09-12 19:26:39,3099,13.14,60,49,34.79,6.09,0.0,1,41.88,Mobile,Medallion
100007,TX1525,2024-03-21 05:01:00,2024-03-21 05:52:44,3104,6.82,41,52,19.62,7.68,0.0,1,28.3,Mobile,Flash Cab
100008,TX8517,2024-03-18 01:35:00,2024-03-18 02:18:43,2623,17.59,19,34,45.47,3.15,2.5,3,54.12,Credit Card,Yellow Cab
100009,TX6930,2024-09-28 11:48:00,2024-09-28 12:31:19,2599,11.01,29,18,29.67,7.47,2.5,3,42.64,No Charge,Flash Cab
100010,TX2040,2024-10-02 10:07:00,2024-10-02 10:15:12,492,17.29,50,49,44.75,1.53,0.0,3,49.28,No Charge,Medallion
100011,TX6573,2024-04-01 18:53:00,2024-04-01 19:35:46,2566,17.29,15,38,44.75,0.11,0.0,2,46.86,No Charge,Yellow Cab
100012,TX9317,2024-06-14 10:41:00,2024-06-14 10:46:13,313,19.1,14,39,49.09,8.76,0.0,1,58.85,Credit Card,Yellow Cab
100013,TX6310,2024-05-16 09:18:00,2024-05-16 10:15:03,3423,3.65,63,3,12.01,9.53,5.0,0,26.54,Cash,Blue Ribbon
100014,TX2403,2024-11-16 04:23:00,2024-11-16 04:48:59,1559,5.17,63,9,15.66,2.41,5.0,0,23.07,Credit Card,Yellow Cab
100015,TX4470,2024-08-28 10:59:00,2024-08-28 11:36:26,2246,18.96,70,26,48.75,1.65,5.0,3,58.4,Mobile,Taxi Affiliation
100016,TX5061,2024-09-01 19:17:00,2024-09-01 20:06:21,2961,7.78,29,9,21.92,9.0,2.5,0,33.42,Mobile,Flash Cab
100017,TX4750,2024-08-02 10:43:00,2024-08-02 11:25:48,2568,4.99,9,5,15.23,2.2,0.0,0,17.43,Mobile,Flash Cab
100018,TX8744,2024-07-06 10:45:00,2024-07-06 11:06:14,1274,5.93,32,61,17.48,4.85,5.0,1,28.33,No Charge,Yellow Cab
100019,TX1887,2024-02-04 14:13:00,2024-02-04 14:24:37,697,13.35,13,8,35.29,3.54,2.5,3,44.33,No Charge,Blue Ribbon
100020,TX7912,2024-10-18 17:41:00,2024-10-18 17:53:27,747,5.35,24,36,16.09,1.9,2.5,1,21.49,No Charge,Yellow Cab
100021,TX1828,2024-11-14 15:22:00,2024-11-14 15:32:08,608,9.14,70,2,25.19,8.61,5.0,0,38.8,Cash,Yellow Cab
100022,TX3697,2024-03-01 19:14:00,2024-03-01 19:46:44,1964,9.97,49,1,27.18,2.14,2.5,0,31.82,No Charge,Blue Ribbon
100023,TX3536,2024-12-03 14:02:00,2024-12-03 15:00:31,3511,15.81,25,38,41.19,2.85,5.0,3,52.04,Credit Card,Flash Cab
100024,TX8811,2024-07-30 02:57:00,2024-07-30 03:52:13,3313,11.07,65,68,29.82,7.48,0.0,0,37.3,Credit Card,Flash Cab
100025,TX7615,2024-07-04 03:28:00,2024-07-04 03:38:28,628,17.1,16,73,44.29,0.69,0.0,1,45.98,Credit Card,Medallion
100026,TX5272,2024-08-04 16:59:00,2024-08-04 17:06:42,462,12.58,27,41,33.44,4.19,5.0,2,44.63,Credit Card,Blue Ribbon
100027,TX1152,2024-05-24 08:25:00,2024-05-24 08:38:56,836,13.6,59,73,35.89,3.0,0.0,0,38.89,Cash,Flash Cab
100028,TX5002,2024-07-14 23:55:00,2024-07-15 00:14:33,1173,10.36,48,37,28.11,1.32,0.0,0,29.43,Credit Card,Taxi Affiliation
