Weight,Height,Age,Gender
67.5,1.5,41,Male
61.9,1.58,31,Female
99.8,1.95,58,Male
73.0,1.72,46,Female
92.9,1.89,41,Male
90.4,1.9,45,Female
76.6,1.73,33,Male
69.5,1.61,26,Male
93.9,1.95,61,Female
85.7,1.85,65,Female
80.6,1.84,40,Female
60.8,1.53,43,Female
76.0,1.78,33,Female
72.1,1.7,40,Female
86.3,1.9,47,Female
72.6,1.69,32,Female
93.3,1.89,57,Male
68.9,1.6,63,Female
63.1,1.61,31,Female
93.4,1.92,57,Female
82.1,1.81,30,Female
61.0,1.48,59,Male
85.1,1.79,24,Male
94.5,1.88,33,Male
81.2,1.66,63,Male
68.8,1.63,29,Male
55.9,1.49,22,Male
74.7,1.64,26,Male
90.9,1.82,51,Male
70.2,1.74,33,Female
64.6,1.45,57,Male
66.8,1.59,49,Male
76.9,1.73,56,Female
84.6,1.83,57,Female
88.4,1.93,23,Female
81.2,1.87,19,Female
79.1,1.71,43,Male
56.0,1.52,39,Female
80.0,1.78,62,Female
79.4,1.79,34,Male
69.1,1.54,47,Male
99.1,1.95,32,Male
69.0,1.58,55,Male
61.0,1.58,45,Female
65.4,1.53,42,Male
73.7,1.71,23,Male
56.2,1.46,32,Male
79.4,1.71,47,Male
61.5,1.56,31,Female
66.0,1.66,19,Female
95.5,1.89,51,Male
84.1,1.78,48,Male
84.0,1.76,36,Male
65.3,1.6,61,Female
77.2,1.6,61,Male
57.4,1.48,58,Female
91.4,1.89,57,Male
57.2,1.46,37,Female
66.3,1.56,49,Male
65.1,1.65,47,Female
63.3,1.65,25,Female
64.6,1.49,39,Male
83.8,1.8,19,Male
86.2,1.84,64,Female
63.6,1.63,47,Female
66.4,1.58,51,Female
89.2,1.92,61,Female
66.0,1.53,56,Male
84.5,1.8,62,Female
66.7,1.49,29,Male
90.1,1.85,22,Male
63.0,1.51,36,Male
68.2,1.67,51,Female
76.3,1.72,45,Male
82.4,1.81,34,Male
77.4,1.68,63,Male
85.2,1.84,54,Female
68.5,1.67,19,Female
83.6,1.89,29,Female
75.3,1.69,43,Male
78.3,1.8,48,Female
78.3,1.81,60,Female
77.1,1.72,30,Male
95.5,1.94,58,Female
75.3,1.68,63,Female
71.1,1.78,24,Female
87.8,1.81,56,Male
89.6,1.89,24,Male
73.2,1.59,55,Male
76.9,1.85,26,Female
71.8,1.69,50,Female
75.9,1.81,22,Female
76.0,1.72,60,Female
87.0,1.91,39,Female
53.0,1.46,23,Female
57.8,1.54,43,Female
62.9,1.48,49,Male
72.2,1.79,27,Female
85.5,1.93,41,Female
74.9,1.73,31,Female
69.0,1.7,26,Female
54.2,1.49,38,Female
77.4,1.78,43,Female
75.6,1.7,31,Male
88.4,1.85,58,Male
70.4,1.57,47,Male
50.5,1.48,25,Female
82.4,1.88,31,Female
69.1,1.62,41,Male
89.0,1.88,47,Female
93.2,1.95,31,Female
57.6,1.53,33,Female
60.1,1.54,26,Female
72.7,1.58,53,Male
84.2,1.85,65,Female
85.8,1.82,63,Female
75.8,1.72,58,Female
61.9,1.6,48,Female
69.7,1.67,23,Female
68.1,1.61,42,Male
60.8,1.5,28,Male
51.1,1.45,38,Female
74.3,1.72,48,Female
75.7,1.63,30,Male
94.3,1.94,31,Male
70.1,1.66,34,Male
70.0,1.57,33,Male
73.9,1.62,41,Male
94.1,1.88,29,Male
65.0,1.67,35,Female
76.8,1.62,63,Male
57.6,1.56,21,Female
70.2,1.69,38,Female
84.6,1.74,52,Male
92.3,1.94,62,Female
63.5,1.64,46,Female
75.1,1.68,55,Male
62.5,1.49,37,Male
70.9,1.58,60,Male
63.8,1.46,45,Male
74.7,1.62,59,Male
59.5,1.57,48,Female
67.3,1.52,50,Male
67.3,1.55,18,Male
74.0,1.79,33,Female
51.8,1.45,52,Female
74.9,1.68,21,Male
70.1,1.62,59,Female
78.2,1.71,27,Male
63.1,1.54,30,Male
55.5,1.52,26,Female
81.7,1.86,53,Female
67.8,1.59,49,Female
75.0,1.66,26,Male
66.5,1.47,53,Male
65.0,1.55,55,Male
84.0,1.76,65,Male
77.5,1.72,65,Female
92.0,1.87,56,Male
97.4,1.95,26,Male
90.4,1.83,23,Male
71.5,1.76,31,Female
80.7,1.8,35,Female
77.4,1.66,44,Male
83.2,1.68,60,Male
83.5,1.92,19,Female
64.1,1.58,64,Female
75.0,1.66,26,Male
84.8,1.89,40,Female
77.0,1.76,55,Female
88.7,1.83,54,Male
70.3,1.54,56,Male
64.0,1.56,57,Female
88.2,1.79,37,Male
51.8,1.5,19,Female
54.9,1.48,52,Female
80.5,1.86,22,Female
68.5,1.59,54,Male
68.5,1.53,42,Male
86.4,1.91,59,Female
78.9,1.85,33,Female
80.8,1.87,32,Female
76.4,1.75,62,Female
60.8,1.57,31,Female
78.8,1.78,26,Female
85.3,1.86,25,Female
65.6,1.65,42,Female
70.1,1.56,52,Male
85.4,1.75,52,Male
73.4,1.64,45,Male
56.8,1.5,50,Female
76.2,1.74,63,Female
66.8,1.59,19,Male
80.3,1.77,31,Male
83.5,1.76,59,Male
81.1,1.77,52,Male
69.1,1.67,26,Male
70.4,1.69,53,Female
76.6,1.79,24,Female
80.5,1.75,40,Male
