Age,Income,BuyHouse
60,34592,No
21,117196,Yes
37,52098,Yes
34,38289,No
26,108696,Yes
54,31395,No
57,75302,Yes
22,23905,No
25,48657,No
34,86237,Yes
58,23478,No
55,46062,No
65,105181,Yes
64,91426,Yes
46,48893,No
48,97236,Yes
37,20851,No
30,111506,Yes
47,64597,Yes
37,40379,No
33,64118,Yes
26,32156,No
44,32676,No
42,65082,Yes
58,54671,Yes
22,115647,Yes
49,90284,Yes
27,69615,No
25,92357,Yes
38,102397,Yes
59,67400,Yes
56,45203,No
65,29116,No
22,106673,Yes
34,57930,Yes
25,50512,No
26,69823,No
37,79429,Yes
60,67819,Yes
30,68520,No
42,47460,No
62,54993,Yes
64,109593,Yes
61,29358,No
58,103227,Yes
30,90010,Yes
35,41417,No
49,69735,Yes
37,103886,Yes
64,93000,Yes
34,109733,Yes
40,27331,No
34,24207,No
40,72581,Yes
37,28675,No
33,94341,Yes
65,61245,Yes
33,105909,Yes
51,71856,Yes
61,80142,Yes
29,54718,No
28,52325,No
55,90644,Yes
36,117912,Yes
57,76155,Yes
57,72350,Yes
43,48746,No
28,86784,No
51,31915,No
23,34371,No
29,102240,Yes
30,109192,Yes
47,98172,Yes
24,70432,No
44,98104,Yes
49,89352,Yes
36,92512,Yes
20,109166,Yes
27,109353,Yes
54,118419,Yes
37,104012,Yes
41,34621,No
38,76985,Yes
30,79470,No
20,114646,Yes
36,85612,Yes
31,86542,Yes
26,101959,Yes
39,103748,Yes
52,99818,Yes
32,40032,No
43,119943,Yes
30,90697,Yes
53,20074,No
58,62487,Yes
51,22552,No
27,67576,No
39,51385,Yes
23,51571,No
56,30322,No
25,115932,Yes
51,29071,No
54,36483,No
28,106474,Yes
50,92063,Yes
30,54741,No
53,99507,Yes
47,47760,No
54,118994,Yes
64,46365,No
65,60857,Yes
45,108039,Yes
61,68944,Yes
48,87839,Yes
48,35860,No
35,49451,No
24,64313,No
21,97110,Yes
55,50161,Yes
57,48864,No
20,29305,No
65,102719,Yes
23,50007,No
24,24117,No
41,29287,No
52,51195,Yes
37,107684,Yes
51,48080,No
54,37342,No
56,95525,Yes
50,51850,Yes
50,73354,Yes
32,32363,No
26,106374,Yes
47,66438,Yes
47,73883,Yes
49,115561,Yes
23,108259,Yes
61,104696,Yes
26,27944,No
45,115448,Yes
41,34322,No
35,45112,No
32,90292,Yes
48,38373,No
47,44050,No
37,80637,Yes
35,29880,No
48,92132,Yes
26,26630,No
61,90855,Yes
20,32224,No
35,41798,No
46,83653,Yes
50,48016,No
45,27685,No
30,69672,No
20,71173,No
36,79638,Yes
38,75444,Yes
64,115748,Yes
55,106752,Yes
65,83788,Yes
29,44890,No
38,48534,No
23,95914,Yes
54,27989,No
40,27492,No
23,96569,Yes
50,85909,Yes
53,40635,No
23,86562,No
25,44356,No
24,97992,Yes
24,108501,Yes
35,72923,Yes
27,94668,Yes
35,95880,Yes
58,25209,No
59,30745,No
46,106163,Yes
57,94085,Yes
53,61467,Yes
36,46772,No
62,113872,Yes
40,51285,Yes
36,71876,Yes
28,108039,Yes
61,59321,Yes
49,61441,Yes
24,21220,No
49,101416,Yes
56,33104,No
24,90468,Yes
33,86307,Yes
36,37361,No
42,29016,No
35,68434,Yes
38,40676,No
48,91200,Yes
