Weather,Activity
Cloudy,Go Out
Windy,Go Out
Sunny,Go Out
Sunny,Go Out
Sunny,Go Out
Rainy,Stay In
Sunny,Go Out
Windy,Go Out
Rainy,Stay In
Windy,Go Out
Sunny,Go Out
Sunny,Stay In
Windy,Go Out
Rainy,Stay In
Rainy,Stay In
Windy,Go Out
Sunny,Stay In
Cloudy,Stay In
Rainy,Stay In
Rainy,Stay In
Sunny,Go Out
Sunny,Stay In
Sunny,Stay In
Rainy,Stay In
Windy,Stay In
Windy,Stay In
Windy,Stay In
Cloudy,Go Out
Rainy,Stay In
Sunny,Stay In
Cloudy,Stay In
Windy,Stay In
Windy,Go Out
Sunny,Go Out
Windy,Go Out
Cloudy,Go Out
Windy,Stay In
Sunny,Go Out
Cloudy,Go Out
Cloudy,Stay In
Windy,Stay In
Windy,Go Out
Sunny,Go Out
Windy,Go Out
Sunny,Go Out
Windy,Go Out
Windy,Stay In
Sunny,Go Out
Cloudy,Go Out
Sunny,Go Out
Sunny,Go Out
Cloudy,Go Out
Rainy,Stay In
Windy,Stay In
Sunny,Go Out
Windy,Stay In
Cloudy,Go Out
Windy,Stay In
Cloudy,Go Out
Cloudy,Go Out
Rainy,Stay In
Sunny,Go Out
Rainy,Stay In
Rainy,Stay In
Windy,Stay In
Rainy,Stay In
Cloudy,Go Out
Rainy,Stay In
Cloudy,Stay In
Cloudy,Go Out
Sunny,Go Out
Windy,Stay In
Windy,Stay In
Sunny,Go Out
Windy,Go Out
Rainy,Stay In
Rainy,Stay In
Rainy,Stay In
Cloudy,Stay In
Sunny,Go Out
Sunny,Stay In
Rainy,Stay In
Sunny,Go Out
Sunny,Go Out
Rainy,Go Out
Windy,Go Out
Cloudy,Go Out
Cloudy,Stay In
Sunny,Go Out
Windy,Stay In
Windy,Stay In
Cloudy,Go Out
Rainy,Stay In
Cloudy,Go Out
Windy,Go Out
Sunny,Go Out
Cloudy,Go Out
Sunny,Go Out
Cloudy,Go Out
Cloudy,Stay In
Cloudy,Go Out
Cloudy,Go Out
Cloudy,Go Out
Rainy,Stay In
Windy,Go Out
Rainy,Stay In
Windy,Stay In
Sunny,Go Out
Cloudy,Stay In
Cloudy,Go Out
Cloudy,Stay In
Cloudy,Go Out
Sunny,Go Out
Sunny,Go Out
Windy,Go Out
Cloudy,Go Out
Windy,Stay In
Sunny,Go Out
Cloudy,Go Out
Sunny,Go Out
Rainy,Stay In
Rainy,Stay In
Cloudy,Go Out
Windy,Stay In
Windy,Go Out
Rainy,Stay In
Rainy,Stay In
Rainy,Go Out
Windy,Go Out
Windy,Stay In
Rainy,Stay In
Rainy,Stay In
Sunny,Go Out
Rainy,Stay In
Rainy,Stay In
Sunny,Go Out
Rainy,Stay In
Rainy,Go Out
Cloudy,Go Out
Windy,Go Out
Sunny,Go Out
Windy,Stay In
Windy,Stay In
Rainy,Stay In
Rainy,Stay In
Sunny,Go Out
Rainy,Go Out
Sunny,Go Out
Rainy,Stay In
Windy,Stay In
Sunny,Go Out
Sunny,Go Out
Windy,Go Out
Sunny,Go Out
Rainy,Stay In
Sunny,Go Out
Windy,Stay In
Sunny,Go Out
Windy,Stay In
Rainy,Stay In
Windy,Stay In
Windy,Stay In
Rainy,Stay In
Cloudy,Stay In
Rainy,Stay In
Rainy,Stay In
Sunny,Go Out
Windy,Stay In
Sunny,Go Out
Windy,Go Out
Rainy,Stay In
Sunny,Go Out
Cloudy,Go Out
Cloudy,Go Out
Windy,Go Out
Sunny,Go Out
Windy,Go Out
Rainy,Stay In
Windy,Stay In
Windy,Stay In
Windy,Go Out
Cloudy,Go Out
Sunny,Go Out
Sunny,Go Out
Windy,Stay In
Sunny,Go Out
Cloudy,Stay In
Cloudy,Stay In
Sunny,Go Out
Rainy,Stay In
Sunny,Go Out
Cloudy,Go Out
Rainy,Stay In
Rainy,Stay In
Cloudy,Go Out
Rainy,Stay In
Windy,Stay In
Sunny,Go Out
Sunny,Go Out
Windy,Go Out
