x1,x2,label
-1.255,7.774,1
4.507,5.505,0
2.32,2.333,0
0.987,9.393,1
-3.44,7.586,1
-3.44,0.277,0
-4.419,10.753,0
3.662,9.516,1
1.011,11.297,1
2.081,8.16,1
-4.794,6.588,0
4.699,3.855,0
3.324,11.058,1
-2.877,10.125,1
-3.182,-1.367,0
-3.166,-1.631,0
-1.958,3.27,1
0.248,9.348,1
-0.681,11.822,1
-2.088,0.106,0
1.119,6.318,1
-3.605,3.332,0
-2.079,11.579,1
-1.336,9.79,1
-0.439,9.737,1
2.852,4.562,0
-3.003,3.807,0
0.142,1.828,1
0.924,-1.211,0
-4.535,10.106,0
1.075,9.381,1
-3.295,11.996,1
-4.349,11.953,1
4.489,5.776,0
4.656,8.766,0
3.084,11.227,1
-1.954,9.895,1
-4.023,1.463,0
1.842,4.308,1
-0.598,-0.192,0
-3.78,11.357,1
-0.048,6.486,1
-4.656,1.201,0
4.093,7.404,0
-2.412,6.654,1
1.625,3.014,1
-1.883,-0.41,0
0.201,7.402,1
0.467,5.284,1
-3.151,8.812,1
4.696,5.282,0
2.751,9.931,1
4.395,5.727,0
3.948,5.853,0
0.979,10.273,1
4.219,3.649,0
-4.115,-0.124,0
-3.04,-1.597,0
-4.548,8.572,0
-1.747,6.684,1
-1.113,7.857,1
-2.287,0.981,0
3.287,-0.091,0
-1.432,-1.796,0
-2.191,2.908,0
0.427,6.259,1
-3.591,3.491,0
3.022,4.125,0
-4.254,10.658,1
4.869,2.876,0
2.722,5.196,1
-3.013,8.971,1
-4.945,3.552,0
3.155,6.709,1
2.069,10.073,1
2.29,11.293,1
2.713,0.059,0
-4.26,10.972,1
-1.415,4.89,1
-3.841,1.615,0
3.631,4.428,0
1.233,11.72,1
-1.691,4.897,1
-4.364,2.603,0
-1.89,6.868,1
-1.748,1.362,0
2.296,-0.938,0
1.376,-0.196,0
3.872,-0.207,0
-0.278,0.127,0
-3.804,-0.056,0
2.132,6.972,1
2.608,0.546,0
0.613,2.839,1
2.71,10.555,1
-0.062,4.635,1
0.227,7.346,1
-0.725,0.412,0
-4.746,0.692,0
-3.921,-1.428,0
-4.686,0.365,0
1.364,1.9,0
-1.856,0.478,0
0.086,-0.758,0
4.076,-0.311,0
-2.507,4.451,1
-0.896,0.889,0
2.556,3.1,0
-2.712,5.048,1
-4.23,7.666,0
-2.102,-1.45,0
-3.388,9.192,1
4.297,6.791,0
3.081,-0.855,0
1.334,10.23,1
3.715,10.892,1
3.037,-1.145,0
-3.134,1.876,0
3.926,9.287,1
0.393,8.476,1
3.074,0.583,0
3.961,0.931,0
-1.82,3.187,1
-3.899,4.783,0
-2.721,6.656,1
-0.729,3.165,1
3.18,4.475,0
3.607,8.465,1
-4.93,-1.486,0
0.107,1.534,1
-0.826,7.987,1
-2.779,10.533,1
-3.801,5.163,0
-1.624,5.45,1
4.429,-0.5,0
-1.768,4.264,1
0.188,5.457,1
2.03,1.395,0
-1.364,1.769,0
4.718,3.282,0
4.624,-1.719,0
-2.482,2.509,0
-0.028,0.96,0
-1.991,2.585,0
-2.152,-0.323,0
-4.631,10.467,0
1.096,6.31,1
0.027,7.507,1
-4.485,9.048,0
-2.214,4.978,1
4.083,-0.783,0
-2.604,5.519,1
-3.551,6.216,0
-0.105,8.436,1
4.857,4.043,0
-2.579,-0.214,0
1.721,1.973,0
2.616,3.083,0
-2.624,7.043,1
2.282,5.991,1
-1.322,2.985,1
1.323,11.811,1
1.335,6.481,1
0.358,1.321,1
-4.097,-0.575,0
3.353,0.14,0
-1.792,1.443,0
-3.135,0.25,0
-4.592,0.612,0
0.909,1.991,1
1.776,0.427,0
-4.834,10.555,0
0.121,-0.877,0
-2.735,5.343,1
1.452,3.746,1
-3.256,11.753,1
1.909,-0.431,0
-1.133,3.57,1
4.367,11.573,1
-3.625,10.117,1
-1.589,9.439,1
-3.865,1.611,0
4.247,0.392,0
3.773,7.361,0
-2.421,11.011,1
1.6,5.795,1
3.172,6.003,0
0.552,1.92,1
0.297,8.773,1
-2.581,0.619,0
-4.069,2.532,0
3.972,3.956,0
4.004,5.107,0
1.331,1.394,0
-1.61,-0.392,0
-1.508,6.549,1
2.26,2.041,0
3.971,6.137,0
3.871,0.161,0
2.799,4.736,0
1.42,5.456,1
-4.159,-1.274,0
-3.384,2.712,0
3.986,-0.118,0
1.064,-1.113,0
-4.908,11.859,0
-3.985,2.513,0
1.635,9.338,1
-4.949,1.565,0
-3.392,7.541,1
0.487,8.643,1
1.919,6.339,1
1.52,4.602,1
-2.757,3.766,0
2.122,2.884,0
-2.628,11.013,1
-1.746,9.629,1
2.465,11.51,1
1.496,-0.26,0
3.492,8.232,1
1.576,11.137,1
0.683,0.537,0
-4.063,-1.069,0
-1.323,8.376,1
-2.348,6.043,1
-2.56,9.786,1
4.73,-0.043,0
-1.069,9.134,1
3.92,0.823,0
1.311,0.291,0
2.948,0.3,0
0.026,9.404,1
0.769,7.313,1
-0.075,5.323,1
-3.048,3.024,0
2.225,10.281,1
-2.192,3.494,1
-4.757,9.432,0
1.455,4.148,1
-3.229,3.277,0
4.405,4.478,0
4.539,2.219,0
4.149,8.467,0
-1.298,5.038,1
-4.845,1.251,0
4.283,10.594,1
-0.718,3.374,1
4.667,5.61,0
4.636,10.691,0
3.53,6.739,0
-2.056,-0.363,0
-1.149,11.158,1
3.511,6.788,0
-1.831,2.689,1
-3.305,-0.05,0
0.568,9.116,1
4.362,6.681,0
1.96,5.468,1
0.701,10.514,1
-4.028,9.04,0
1.15,0.123,0
4.901,2.364,0
-3.599,1.479,0
0.183,8.415,1
3.774,-1.531,0
2.408,5.978,1
1.97,8.674,1
2.025,10.275,1
-1.405,2.789,1
-2.064,9.498,1
3.094,-0.451,0
3.101,9.85,1
3.671,-0.215,0
4.132,3.562,0
0.113,9.162,1
0.015,0.099,0
2.983,1.21,0
1.5,8.112,1
2.02,8.081,1
2.958,6.976,1
3.9,7.715,0
-1.62,5.598,1
-1.244,1.525,0
-4.06,2.84,0
0.783,0.542,0
-4.641,10.718,0
-0.344,6.167,1
0.426,3.612,1
-2.135,4.468,1
0.908,11.262,1
-4.695,0.147,0
-4.627,6.207,0
3.226,5.082,0
-1.398,6.56,1
-3.729,-1.746,0
0.222,10.21,1
2.7,11.05,1
-2.842,5.912,1
1.229,7.753,1
-4.147,10.915,1
-4.483,7.901,0
0.314,0.136,0
0.406,6.068,1
1.374,6.494,1
2.261,3.938,1
4.759,8.31,0
0.163,11.081,1
-1.77,10.958,1
2.952,4.312,0
-2.292,-0.415,0
-0.61,11.788,1
-4.215,9.745,0
-4.746,-0.255,0
4.626,10.892,0
3.36,10.179,1
1.96,5.264,1
-0.91,6.278,1
-3.267,3.586,0
-3.436,-1.233,0
-2.498,2.693,0
0.492,9.24,1
2.146,-1.935,0
1.602,2.669,1
-2.201,3.574,1
4.549,5.524,0
2.379,10.878,1
0.544,2.849,1
1.117,2.857,1
-0.804,8.325,1
-2.523,4.331,1
-1.44,1.144,0
2.578,4.334,1
-4.856,-0.028,0
-3.839,0.469,0
-4.54,4.977,0
-4.593,3.865,0
3.555,10.808,1
2.037,3.074,0
-0.258,6.128,1
-4.022,6.852,0
-0.084,-1.817,0
-0.265,7.29,1
-3.268,0.493,0
-0.661,11.455,1
-1.015,0.081,0
1.159,3.805,1
1.351,-0.805,0
-4.547,11.956,1
-1.254,5.031,1
1.259,6.335,1
0.031,-1.061,0
3.565,8.499,1
1.587,0.939,0
-3.371,10.573,1
-4.294,0.872,0
1.424,0.67,0
-4.735,-1.488,0
0.858,4.609,1
4.402,5.908,0
0.755,-1.08,0
-1.118,8.857,1
1.433,4.346,1
-0.417,5.341,1
0.456,4.171,1
4.415,3.611,0
-1.139,5.835,1
4.612,0.173,0
4.054,0.547,0
-3.042,10.065,1
-4.306,11.246,1
-3.992,3.226,0
-4.818,1.79,0
-4.056,7.016,0
1.83,3.722,1
-4.288,-1.645,0
-1.81,0.186,0
3.449,8.024,1
-4.767,7.225,0
3.145,-1.621,0
-2.181,1.108,0
-3.818,1.235,0
1.967,7.406,1
1.289,-1.724,0
3.775,-0.542,0
2.351,9.199,1
3.035,0.5,0
-2.18,7.138,1
-3.226,1.335,0
2.506,-0.608,0
3.068,1.404,0
4.905,8.112,0
-0.874,9.98,1
-1.28,9.623,1
2.764,3.561,0
-1.592,7.353,1
4.308,0.87,0
3.584,2.104,0
-0.71,10.549,1
2.509,-1.818,0
2.545,-0.803,0
-3.969,0.91,0
4.026,-1.629,0
0.053,0.54,0
3.265,6.163,0
-1.8,3.9,1
3.955,10.497,1
-1.108,9.444,1
-4.892,2.785,0
4.054,1.632,0
-4.087,3.316,0
-1.807,6.264,1
4.501,1.753,0
4.506,6.738,0
0.734,3.732,1
1.318,5.729,1
-0.516,4.106,1
-2.068,2.123,0
-1.713,11.278,1
1.725,8.69,1
2.524,-0.038,0
2.916,10.159,1
2.896,4.824,0
-4.088,10.524,1
-0.056,9.198,1
-4.424,3.953,0
0.495,-1.685,0
-0.585,1.761,1
3.877,5.583,0
-1.491,6.869,1
-3.829,1.61,0
-3.57,-0.049,0
2.615,9.689,1
1.182,11.782,1
-3.989,5.36,0
-4.159,0.404,0
2.01,1.812,0
-4.272,-1.743,0
3.219,10.8,1
2.062,-0.351,0
-4.187,6.071,0
-4.152,1.837,0
4.866,5.758,0
-1.257,7.12,1
-1.294,9.616,1
3.128,0.89,0
4.472,-1.846,0
4.86,-0.084,0
2.534,10.6,1
-1.237,10.234,1
-4.165,6.364,0
2.771,6.407,1
