word_frequency,message_length,label
47,322,1
12,115,0
62,255,1
80,387,1
88,11,1
83,463,1
8,88,0
95,212,1
21,392,0
81,394,1
87,318,1
80,26,0
70,414,1
72,387,1
25,7,0
82,131,0
89,301,1
12,192,0
15,366,0
59,18,1
26,463,1
26,470,0
47,16,0
32,91,0
10,16,0
16,401,0
71,29,0
17,305,0
23,247,0
26,126,0
85,151,0
86,59,0
7,242,0
14,360,0
79,177,1
7,396,0
9,225,0
48,123,0
72,313,1
59,187,1
87,292,1
93,311,1
82,304,1
95,86,1
94,458,1
39,406,0
99,215,1
18,154,0
59,41,1
17,356,0
14,316,0
31,365,1
24,63,0
99,135,1
60,416,1
45,206,0
98,247,1
3,39,0
37,449,0
43,97,0
40,442,1
90,451,1
55,211,1
87,357,1
39,395,1
15,336,0
4,309,0
93,354,1
86,217,1
25,163,1
13,446,0
82,449,1
33,28,0
16,408,0
42,297,0
66,8,0
55,224,1
99,368,1
42,386,1
34,24,0
30,448,1
13,156,0
13,54,0
18,181,0
32,439,0
96,100,1
99,109,1
39,424,1
46,254,1
29,121,1
62,358,1
93,232,1
62,70,1
57,339,1
16,422,0
56,424,1
10,266,0
30,299,0
25,430,0
84,247,1
5,375,0
65,190,1
94,250,1
49,129,0
3,272,0
45,135,0
14,241,0
30,22,0
68,44,0
18,25,0
62,403,1
37,229,0
25,359,0
48,286,0
65,12,1
53,104,0
79,244,1
73,482,1
15,91,0
49,302,0
88,432,1
68,18,0
12,338,1
59,6,0
37,379,0
61,297,1
43,329,0
70,426,1
39,497,1
56,45,0
63,322,1
46,320,1
88,385,1
11,115,0
62,18,0
77,235,1
98,477,1
25,88,0
71,134,1
52,235,1
4,330,0
59,149,1
72,383,1
20,349,1
93,32,0
63,70,1
54,167,0
74,233,1
98,265,1
57,453,1
90,428,1
41,464,1
3,444,0
6,168,0
5,305,0
5,411,0
54,307,1
47,291,1
87,399,1
49,14,0
9,199,0
99,122,1
20,274,0
61,84,0
35,462,1
50,97,0
82,270,1
62,336,1
17,354,0
88,365,1
3,261,0
32,137,0
99,280,1
13,268,0
89,175,1
73,464,1
68,5,1
14,317,0
98,68,1
11,378,1
56,472,1
67,288,0
92,125,1
29,111,0
9,425,0
67,179,1
25,489,0
98,208,1
76,169,1
42,309,1
9,124,0
79,48,1
40,316,1
25,160,0
5,371,0
11,211,0
59,394,1
98,112,0
88,255,1
79,449,1
38,408,1
72,374,1
5,338,0
48,134,1
90,461,1
18,297,0
70,24,0
37,286,1
60,289,1
48,5,0
77,123,1
28,39,0
69,202,1
77,489,1
81,249,1
40,63,0
45,329,0
96,165,1
62,183,0
93,210,1
58,16,1
67,494,1
56,280,0
40,185,0
98,246,1
40,220,0
91,255,1
77,303,1
33,130,0
6,486,1
88,221,1
19,310,0
80,289,1
40,189,0
92,43,1
97,227,1
59,188,1
59,499,1
48,431,1
41,182,0
13,411,0
45,432,1
89,298,1
53,344,1
42,155,0
100,388,1
63,130,0
27,305,0
38,312,1
60,340,1
7,438,0
5,238,0
45,384,1
58,379,1
31,12,0
23,345,1
42,133,0
10,268,0
32,161,0
53,356,1
30,362,0
39,9,0
31,499,1
82,90,1
100,179,1
2,294,0
78,197,1
77,315,1
93,123,1
12,222,0
39,431,1
66,462,1
96,418,1
13,118,0
46,470,1
27,149,0
17,30,0
95,140,1
98,307,1
60,236,1
64,373,1
88,80,0
35,479,1
70,332,1
83,349,1
30,306,1
71,456,1
74,293,1
96,5,1
98,151,1
63,291,0
28,468,0
60,146,1
79,57,1
94,308,1
37,73,0
93,365,1
22,94,0
68,450,1
20,224,0
96,454,1
100,196,1
68,458,1
91,67,1
64,77,1
17,165,0
12,173,0
22,93,0
17,180,0
10,273,0
65,77,0
22,249,0
90,81,1
82,163,1
50,493,1
14,463,1
64,328,1
47,102,1
29,385,1
76,106,0
36,498,0
99,136,1
52,106,1
76,23,1
7,458,0
29,486,1
11,86,0
33,401,0
6,493,1
79,283,1
32,343,1
51,369,1
75,335,1
58,133,1
87,348,1
26,314,0
98,459,1
46,93,0
98,217,1
29,147,0
4,69,0
81,80,1
99,203,1
13,147,0
39,409,1
15,407,0
29,320,0
29,97,0
75,477,1
32,421,0
2,309,0
47,228,1
78,295,1
84,432,1
22,106,0
75,478,1
27,271,0
67,359,1
81,460,1
56,114,0
92,466,1
93,334,1
21,454,1
47,434,1
80,269,1
59,7,0
84,89,1
6,286,0
19,332,0
57,308,1
69,454,1
3,458,0
1,416,0
58,121,0
38,225,0
15,158,0
34,157,0
61,16,0
35,137,0
64,486,1
25,308,1
24,297,0
12,467,0
18,304,1
15,232,0
80,275,1
27,47,0
72,436,1
60,347,1
46,330,0
89,306,1
17,368,0
93,383,1
53,431,1
8,497,0
79,25,1
27,411,0
46,111,0
50,340,1
71,307,1
3,121,0
93,128,1
64,403,1
44,285,0
53,296,1
24,207,0
60,55,0
3,275,0
20,328,0
46,281,0
15,145,0
25,474,1
94,279,1
78,294,1
71,338,1
17,385,0
84,456,1
100,500,1
9,377,0
38,56,0
48,498,1
60,31,0
63,161,0
86,243,1
2,160,0
88,295,1
72,140,1
11,148,0
64,110,0
77,424,1
81,162,1
72,150,1
21,6,0
18,437,1
94,81,1
64,136,0
82,94,1
95,349,1
38,354,1
32,463,1
11,267,0
45,355,0
89,112,1
33,78,0
41,43,0
8,401,0
11,163,0
86,75,1
51,451,1
88,316,1
41,245,0
17,430,0
76,449,1
46,302,0
32,444,1
79,40,0
80,88,1
54,456,1
86,378,1
92,267,1
20,314,0
33,389,0
74,176,1
40,380,1
32,177,0
97,366,1
2,51,0
97,383,1
33,145,0
77,379,1
30,410,0
33,122,1
77,281,1
26,218,0
22,224,0
66,397,1
38,30,1
90,13,0
46,275,1
15,14,0
98,476,1
44,382,1
49,125,0
75,129,1
61,174,1
67,76,0
6,156,0
9,212,0
6,53,0
73,158,1
95,351,1
32,297,0
41,72,0
76,54,1
8,156,0
72,23,1
50,104,0
92,64,1
62,171,1
84,206,1
